tdt_file,med_file,mouse,sex,region,virus,diet,date,session,phase,box,squad,L_nutrient,L_flavor,L_number_licks,R_nutrient,R_flavor,R_number_licks,total_licks,left_cue,right_cue,signal_uv,signal_blue,ttl_sipper_left,ttl_lick_left,ttl_sipper_right,ttl_lick_right,endcol
HistaLight-240225-122459,2024-02-25_13h03m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,6,1,,,,ensure,,775,775,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240225-122459,2024-02-25_13h03m_Subject HL204.txt,HL204,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,7,1,,,,ensure,,1808,1808,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240225-130224,2024-02-25_13h42m_Subject HL205.txt,HL205,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,5,2,,,,ensure,,1466,1466,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240225-130224,2024-02-25_13h42m_Subject HL206.txt,HL206,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,6,2,,,,ensure,,1451,1451,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240225-130224,2024-02-25_13h42m_Subject HL207.txt,HL207,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,7,2,,,,ensure,,1695,1695,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240225-130224,2024-02-25_13h42m_Subject HL208.txt,HL208,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,8,2,,,,ensure,,1533,1533,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240225-134149,2024-02-25_14h21m_Subject HL209.txt,HL209,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,5,3,,,,ensure,,1294,1294,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240225-134149,2024-02-25_14h21m_Subject HL210.txt,HL210,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,6,3,,,,ensure,,1436,1436,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240225-134149,2024-02-25_14h21m_Subject HL211.txt,HL211,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,7,3,,,,ensure,,1016,1016,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240225-134149,2024-02-25_14h21m_Subject HL212.txt,HL212,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,8,3,,,,ensure,,1209,1209,,,_4058,_4658,_819_,_820_,_817_,_818_,0
